index,name,ingredient,rumCategory,ingredientCategory,pageNum
81,SIDEWINDER'S FANG,ORANGE JUICE,,JUICE (ORANGE),62
82,SIDEWINDER'S FANG,PASSION FRUIT SYRUP,,SYRUP (PASSION FRUIT),62
83,SIDEWINDER'S FANG,SELTZER,,SODA,62
84,SIDEWINDER'S FANG,BLENDED AGED RUM,3,RUM (BLENDED AGED),62
85,SIDEWINDER'S FANG,BLACK BLENDED RUM,5,RUM (BLACK BLENDED),62
86,,,,,
87,HAWAIIN SUNSET,LIME JUICE,,JUICE (LIME),62
88,HAWAIIN SUNSET,LEMON JUICE,,JUICE (LEMON),62
89,HAWAIIN SUNSET,ORGEAT,,SYRUP (ALMOND),62
90,HAWAIIN SUNSET,GRENADINE,,SYRUP (GRENADINE),62
91,HAWAIIN SUNSET,VODKA,,VODKA,62
92,,,,,
93,CAPTAIN'S GROG,LIME JUICE,,JUICE (LIME),65
94,CAPTAIN'S GROG,GRAPEFRUIT JUICE,,JUICE (GRAPEFRUIT),65
95,CAPTAIN'S GROG,MAPLE SYRUP,,SYRUP (MAPLE),65
96,CAPTAIN'S GROG,VANILLA EXTRACT,,EXTRACT (VANILLA),65
97,CAPTAIN'S GROG,ALMOND EXTRACT,,EXTRACT (ALMOND),65
98,CAPTAIN'S GROG,SELTZER,,SODA,65
99,CAPTAIN'S GROG,JOHN D. TAYLOR'S VELVET FALERNUM,,LIQUEUR (FALERNUM),65
100,CAPTAIN'S GROG,PIERRE FERRAND DRY CURACAO,,LIQUEUR (ORANGE),65
101,CAPTAIN'S GROG,BLACK BLENDED RUM,5,RUM (BLACK BLENDED),65
102,CAPTAIN'S GROG,BLENDED LIGHTLY AGED RUM,2,RUM (BLENDED LIGHTLY AGED),65
103,CAPTAIN'S GROG,BLENDED AGED RUM,3,RUM (BLENDED AGED),65
104,,,,,
105,SUFFERING BASTARD,GINGER BEER,,BEER (GINGER),65
106,SUFFERING BASTARD,LIME JUICE,,JUICE (LIME),65
107,SUFFERING BASTARD,DEMERARA SYRUP,,SYRUP (DEMERARA),65
108,SUFFERING BASTARD,LONDON DRY GIN,,GIN (LONDON DRY),65
109,SUFFERING BASTARD,BRANDY,,BRANDY (GRAPE),65
110,SUFFERING BASTARD,ANGOSTURA BITTERS,,BITTERS (AROMATIC),65
111,,,,,
112,MERCILESS VIRGIN,LEMON JUICE,,JUICE (LEMON),67
113,MERCILESS VIRGIN,SELTZER,,SODA,67
114,MERCILESS VIRGIN,CHERRY HEERING LIQUEUR,,LIQUEUR (CHERRY HEERING),67
115,MERCILESS VIRGIN,JOHN D. TAYLOR'S VELVET FALERNUM,,LIQUEUR (FALERNUM),67
116,MERCILESS VIRGIN,PIERRE FERRAND DRY CURACAO,,LIQUEUR (ORANGE),67
117,MERCILESS VIRGIN,BLENDED LIGHTLY AGED RUM,2,RUM (BLENDED LIGHTLY AGED),67
118,,,,,
119,SATURN,LEMON JUICE,,JUICE (LEMON),67
120,SATURN,PASSION FRUIT SYRUP,,SYRUP (PASSION FRUIT),67
121,SATURN,ORGEAT,,SYRUP (ALMOND),67
122,SATURN,JOHN D. TAYLOR'S VELVET FALERNUM,,LIQUEUR (FALERNUM),67
123,SATURN,LONDON DRY GIN,,GIN (LONDON DRY),67
124,,,,,
125,TIKI BOWL,ORANGE JUICE,,JUICE (ORANGE),68
126,TIKI BOWL,LIME JUICE,,JUICE (LIME),68
127,TIKI BOWL,HONEY SYRUP,,SYRUP (HONEY),68
128,TIKI BOWL,BLACK BLENDED RUM,5,RUM (BLACK BLENDED),68
129,TIKI BOWL,BLACK BLENDED OVERPROOF RUM,6,RUM (BLACK BLENDED OVERPROOF),68
130,TIKI BOWL,COLUMN STILL AGED RUM,4,RUM (COLUMN STILL AGED),68
131,TIKI BOWL,HERBSTURA,,BITTERS (HERBSTURA),68
132,,,,,
133,HURRICANE,LEMON JUICE,,JUICE (LEMON),68
134,HURRICANE,PASSION FRUIT SYRUP,,SYRUP (PASSION FRUIT),68
135,HURRICANE,BLACK BLENDED RUM,5,RUM (BLACK BLENDED),68
136,,,,,
137,MUNDO PERDIDO,LEMON JUICE,,JUICE (LEMON),93
138,MUNDO PERDIDO,CINNAMON SYRUP,,SYRUP (CINNAMON),93
139,MUNDO PERDIDO,DEMERARA SYRUP,,SYRUP (DEMERARA),93
140,MUNDO PERDIDO,APPLE BRANDY,,BRANDY (APPLE),93
141,MUNDO PERDIDO,BLACK BLENDED RUM,5,RUM (BLACK BLENDED),93
142,,,,,
143,FORMIDABLE DRAGON,LEMON JUICE,,JUICE (LEMON),93
144,FORMIDABLE DRAGON,LIME JUICE,,JUICE (LIME),93
145,FORMIDABLE DRAGON,HONEY SYRUP,,SYRUP (HONEY),93
146,FORMIDABLE DRAGON,MOLASSES SYRUP,,SYRUP (MOLASSES),93
147,FORMIDABLE DRAGON,AMARO DI ANGOSTURA,,AMARO (DI ANGOSTURA),93
148,FORMIDABLE DRAGON,BLENDED AGED RUM,3,RUM (BLENDED AGED),93
149,FORMIDABLE DRAGON,BLACK BLENDED RUM,5,RUM (BLACK BLENDED),93
150,FORMIDABLE DRAGON,POT STILL LIGHTLY AGED RUM (OVERPROOF),1,POT STILL LIGHTLY AGED RUM (OVERPROOF),93
151,FORMIDABLE DRAGON,SELTZER,,SODA,93
152,,,,,
153,LEI LANI VOLCANO 2.0,BUNDABERG GUAVA SODA,,SODA (GUAVA),94
154,LEI LANI VOLCANO 2.0,PINEAPPLE JUICE,,JUICE (PINEAPPLE),94
155,LEI LANI VOLCANO 2.0,LIME JUICE,,JUICE (LIME),94
156,LEI LANI VOLCANO 2.0,COCONUT CREAM,,CREAM (COCONUT),94
157,LEI LANI VOLCANO 2.0,BLENDED AGED RUM,3,RUM (BLENDED AGED),94
158,,,,,
159,TRADEWINDS,LEMON JUICE,,JUICE (LEMON),94
160,TRADEWINDS,COCONUT CREAM,,CREAM (COCONUT),94
161,TRADEWINDS,APRICOT LIQUEUR (SUCH AS ROTHMAN & WINTER APRICOT LIQUEUR OR GIFFARD ABRICOT DU ROUSSILLON),,LIQUEUR (APRICOT),94
162,TRADEWINDS,BLACK BLENDED RUM,5,RUM (BLACK BLENDED),94
163,TRADEWINDS,BLENDED LIGHTLY AGED RUM,2,RUM (BLENDED LIGHTLY AGED),94
164,,,,,
165,PEACHTREE PUNCH 2.0,"YELLOW OR WHITE PEACH, PITTED, AND COARSELY CHOPPED INTO CHUNKS (WITH SKIN)",,FRUIT (PEACH),96
166,PEACHTREE PUNCH 2.0,ORANGE JUICE,,JUICE (ORANGE),96
167,PEACHTREE PUNCH 2.0,LEMON JUICE,,JUICE (LEMON),96
168,PEACHTREE PUNCH 2.0,COCONUT CREAM,,CREAM (COCONUT),96
169,PEACHTREE PUNCH 2.0,PEACH LIQUEUR (SUCH AS MATHILDE PEACH OR COMBIER CRÈME DE PÊCHE DE VIGNE),,LIQUEUR (PEACH),96
170,PEACHTREE PUNCH 2.0,BLENDED LIGHTLY AGED RUM,2,RUM (BLENDED LIGHTLY AGED),96
171,PEACHTREE PUNCH 2.0,SELTZER,,SODA,96
172,,,,,
173,JUNGLE BIRD,PINEAPPLE JUICE,,JUICE (PINEAPPLE),96
174,JUNGLE BIRD,LIME JUICE,,JUICE (LIME),96
175,JUNGLE BIRD,DEMERARA SYRUP,,SYRUP (DEMERARA),96
176,JUNGLE BIRD,CAMPARI,,AMARO (CAMPARI),96
177,JUNGLE BIRD,BLACK BLENDED RUM,5,RUM (BLACK BLENDED),96
178,,,,,
179,GOLDEN GUN,LIME JUICE,,JUICE (LIME),97
180,GOLDEN GUN,GRAPEFRUIT JUICE,,JUICE (GRAPEFRUIT),97
181,GOLDEN GUN,DEMERARA SYRUP,,SYRUP (DEMERARA),97
182,GOLDEN GUN,APRICOT LIQUEUR (SUCH AS ROTHMAN & WINTER APRICOT LIQUEUR OR GIFFARD ABRICOT DU ROUSSILLON),,LIQUEUR (APRICOT),97
183,GOLDEN GUN,BLENDED AGED RUM,3,RUM (BLENDED AGED),97
184,GOLDEN GUN,BLENDED LIGHTLY AGED RUM,2,RUM (BLENDED LIGHTLY AGED),97
185,GOLDEN GUN,ANGOSTURA BITTERS,,BITTERS (AROMATIC),97
186,,,,,
187,HINKY DINKS FIZZY,SPARKLING WINE,,WINE (SPARKLING),97
188,HINKY DINKS FIZZY,PINEAPPLE JUICE,,JUICE (PINEAPPLE),97
189,HINKY DINKS FIZZY,LIME JUICE,,JUICE (LIME),97
190,HINKY DINKS FIZZY,PASSION FRUIT SYRUP,,SYRUP (PASSION FRUIT),97
191,HINKY DINKS FIZZY,APRICOT LIQUEUR (SUCH AS ROTHMAN & WINTER APRICOT LIQUEUR OR GIFFARD ABRICOT DU ROUSSILLON),,LIQUEUR (APRICOT),97
192,HINKY DINKS FIZZY,LONDON DRY GIN,,GIN (LONDON DRY),97
193,HINKY DINKS FIZZY,BLENDED LIGHTLY AGED RUM,2,RUM (BLENDED LIGHTLY AGED),97
194,,,,,
195,PAMPANITO,LEMON JUICE,,JUICE (LEMON),115
196,PAMPANITO,MOLASSES SYRUP,,SYRUP (MOLASSES),115
197,PAMPANITO,SELTZER,,SODA,115
198,PAMPANITO,ST. ELIZABETH ALLSPICE DRAM,,LIQUEUR (ALLSPICE DRAM),115
199,PAMPANITO,BLACK BLENDED RUM,5,RUM (BLACK BLENDED),115
200,PAMPANITO,ANGOSTURA BITTERS,,BITTERS (AROMATIC),115
201,,,,,
202,MAX'S MISTAKE,LEMON JUICE,,JUICE (LEMON),115
203,MAX'S MISTAKE,PASSION FRUIT SYRUP,,SYRUP (PASSION FRUIT),115
204,MAX'S MISTAKE,HONEY SYRUP,,SYRUP (HONEY),115
205,MAX'S MISTAKE,LONDON DRY GIN,,GIN (LONDON DRY),115
206,MAX'S MISTAKE,ANGOSTURA BITTERS,,BITTERS (AROMATIC),115
207,MAX'S MISTAKE,FENTIMANS VICTORIAN LEMONADE (OR ANY QUALITY DRY SPARKLING LEMONADE),,SPARKLING LEMONADE,115
208,,,,,
209,LA GUILDIVE,GINGER BEER,,BEER (GINGER),116
210,LA GUILDIVE,LIME JUICE,,JUICE (LIME),116
211,LA GUILDIVE,LICOR 43,,LIQUEUR (LICOR 43),116
212,LA GUILDIVE,PEACH LIQUEUR (SUCH AS MATHILDE PEACH OR COMBIER CRÈME DE PÊCHE DE VIGNE),,LIQUEUR (PEACH),116
213,LA GUILDIVE,BLENDED AGED RUM,3,RUM (BLENDED AGED),116
214,LA GUILDIVE,GRATED CINNAMON,,SPICE (CINNAMON),116
215,,,,,
216,THE TWENTY SEVENTY SWIZZLE,LIME JUICE,,JUICE (LIME),116
217,THE TWENTY SEVENTY SWIZZLE,DEMERARA SYRUP,,SYRUP (DEMERARA),116
218,THE TWENTY SEVENTY SWIZZLE,HONEY SYRUP,,SYRUP (HONEY),116
219,THE TWENTY SEVENTY SWIZZLE,ST. ELIZABETH ALLSPICE DRAM,,LIQUEUR (ALLSPICE DRAM),116
220,THE TWENTY SEVENTY SWIZZLE,COLUMN STILL AGED RUM,4,RUM (COLUMN STILL AGED),116
221,THE TWENTY SEVENTY SWIZZLE,BLACK BLENDED OVERPROOF RUM,6,RUM (BLACK BLENDED OVERPROOF),116
222,THE TWENTY SEVENTY SWIZZLE,HERBSTURA,,BITTERS (HERBSTURA),116
